timestamp	roll	pitch	yaw	acceleration x	acceleration y	acceleration z	compass x	compass y	compass z	temperature	humidity	altitude
1552389763713.256	179.78	0.08	71.65	-0.0	0.0	-1.02	4.28	13.07	-22.25	
1552389763725.304	179.78	0.08	71.64	-0.0	0.01	-1.03	7.7	23.52	-40.05	
1552389763737.352	179.78	0.09	71.64	-0.0	0.0	-1.03	10.43	32.17	-54.29	
1552389763749.4	179.78	0.09	71.64	-0.0	0.0	-1.02	12.62	39.08	-65.68	
1552389763761.448	179.78	0.09	71.65	-0.0	0.0	-1.03	14.37	44.48	-74.66	
1552389763773.496	179.78	0.09	71.65	-0.0	0.0	-1.03	15.77	48.79	-81.84	
1552389763785.544	179.78	0.09	71.65	-0.0	0.0	-1.02	16.89	52.1	-87.72	
1552389763797.592	179.78	0.09	71.65	-0.0	0.0	-1.02	17.79	54.75	-92.43	
1552389763809.64	179.78	0.09	71.65	-0.0	0.0	-1.03	18.79	57.15	-96.19	
1552389763821.688	179.78	0.09	71.64	-0.0	0.0	-1.03	19.59	59.07	-99.2	
1552389763833.736	179.78	0.09	71.64	-0.0	0.0	-1.03	20.09	60.61	-101.47	
1552389763845.784	179.78	0.1	71.63	-0.0	0.01	-1.02	20.49	61.84	-103.29	
1552389763857.832	179.78	0.1	71.62	-0.0	0.0	-1.03	20.67	62.54	-104.61	
1552389763869.88	179.78	0.1	71.62	-0.0	0.0	-1.02	20.81	63.1	-105.66	
1552389763881.928	179.78	0.1	71.61	-0.0	0.01	-1.02	21.06	63.4	-106.78	
1552389763893.976	179.78	0.1	71.61	-0.0	0.0	-1.02	21.27	63.65	-107.67	
1552389763906.024	179.78	0.1	71.6	-0.0	0.0	-1.02	21.29	64.13	-108.39	
1552389763918.072	179.78	0.1	71.6	-0.0	0.0	-1.03	21.31	64.51	-108.96	
1552389763930.12	179.78	0.1	71.59	-0.0	0.0	-1.03	21.61	64.53	-109.28	
1552389763942.168	179.78	0.1	71.58	-0.0	0.01	-1.03	21.84	64.55	-109.54	
1552389763954.216	179.78	0.1	71.57	-0.0	0.0	-1.02	21.75	64.71	-110.02	
1552389763966.264	179.78	0.1	71.56	-0.0	0.01	-1.02	21.68	64.83	-110.4	
1552389763978.312	179.78	0.1	71.55	-0.0	0.0	-1.02	21.9	64.93	-110.16	
1552389763990.36	179.78	0.11	71.54	-0.0	0.0	-1.02	22.08	65.01	-109.96	
1552389764002.408	179.78	0.11	71.52	-0.0	0.0	-1.03	21.94	65.08	-110.22	
1552389764014.456	179.78	0.11	71.51	-0.0	0.0	-1.02	21.83	65.13	-110.43	
1552389764026.504	179.78	0.11	71.51	-0.0	0.0	-1.02	21.74	65.31	-110.59	
1552389764038.552	179.78	0.11	71.5	-0.0	0.0	-1.02	21.66	65.46	-110.72	
1552389764050.6	179.78	0.12	71.49	-0.0	0.0	-1.03	21.89	65.29	-110.55	
1552389764062.648	179.78	0.12	71.49	-0.0	0.0	-1.03	22.07	65.16	-110.42	
1552389764074.696	179.78	0.12	71.48	-0.0	0.0	-1.02	21.65	65.19	-110.31	
1552389764086.744	179.78	0.11	71.49	-0.0	0.0	-1.02	21.31	65.22	-110.22	
1552389764098.792	179.78	0.11	71.49	-0.0	0.0	-1.03	21.61	65.24	-110.29	
1552389764110.84	179.78	0.11	71.48	-0.0	0.0	-1.03	21.85	65.26	-110.34	
1552389764122.888	179.78	0.12	71.47	-0.0	0.0	-1.03	21.89	65.28	-110.39	
1552389764134.936	179.78	0.11	71.46	-0.0	0.0	-1.02	21.93	65.29	-110.42	
1552389764146.984	179.79	0.12	71.46	-0.0	0.0	-1.03	21.82	65.58	-110.45	
1552389764159.032	179.79	0.12	71.46	-0.0	0.0	-1.02	21.73	65.82	-110.47	
1552389764171.08	179.79	0.12	71.46	-0.0	0.0	-1.03	21.8	65.72	-110.49	
